algorithm,frames,n_pages,n_accesses,page_faults,hit_ratio,avg_access_time_s,memory_utilization
FIFO,6,20,100,74,0.26,0.00740026,100.0
LRU,6,20,100,75,0.25,0.007500250000000001,100.0
MRU,6,20,100,69,0.31,0.006900310000000001,100.0
OPT,6,20,100,49,0.51,0.00490051,100.0
FIFO,6,20,300,216,0.28,0.007200280000000001,100.0
LRU,6,20,300,216,0.28,0.007200280000000001,100.0
MRU,6,20,300,209,0.30333333333333334,0.006966969999999999,100.0
OPT,6,20,300,130,0.5666666666666667,0.0043339,100.0
FIFO,6,20,1000,698,0.302,0.006980302,100.0
LRU,6,20,1000,694,0.306,0.006940306,100.0
MRU,6,20,1000,720,0.28,0.00720028,100.0
OPT,6,20,1000,417,0.583,0.004170582999999999,100.0
FIFO,6,20,3000,2116,0.2946666666666667,0.007053628,100.0
LRU,6,20,3000,2108,0.29733333333333334,0.007026964000000001,100.0
MRU,6,20,3000,2103,0.299,0.007010299,100.0
OPT,6,20,3000,1281,0.573,0.004270573,100.0
