algorithm,frames,n_pages,n_accesses,page_faults,hit_ratio,avg_access_time_s,memory_utilization
FIFO,2,20,300,282,0.06,0.009400059999999998,100.0
LRU,2,20,300,283,0.056666666666666664,0.009433390000000002,100.0
MRU,2,20,300,276,0.08,0.00920008,100.0
OPT,2,20,300,237,0.21,0.00790021,100.0
FIFO,4,20,300,229,0.23666666666666666,0.007633570000000001,100.0
LRU,4,20,300,226,0.24666666666666667,0.0075335800000000015,100.0
MRU,4,20,300,243,0.19,0.00810019,100.0
OPT,4,20,300,157,0.4766666666666667,0.00523381,100.0
FIFO,8,20,300,190,0.36666666666666664,0.0063337,100.0
LRU,8,20,300,186,0.38,0.00620038,100.0
MRU,8,20,300,179,0.4033333333333333,0.0059670700000000005,100.0
OPT,8,20,300,107,0.6433333333333333,0.0035673100000000006,100.0
FIFO,12,20,300,123,0.59,0.00410059,100.0
LRU,12,20,300,124,0.5866666666666667,0.00413392,100.0
MRU,12,20,300,133,0.5566666666666666,0.00443389,100.0
OPT,12,20,300,61,0.7966666666666666,0.00203413,100.0
FIFO,16,20,300,60,0.8,0.0020008,100.0
LRU,16,20,300,68,0.7733333333333333,0.0022674400000000003,100.0
MRU,16,20,300,63,0.79,0.00210079,100.0
OPT,16,20,300,37,0.8766666666666667,0.0012342100000000001,100.0
FIFO,24,20,300,20,0.9333333333333333,0.0006676000000000001,83.33333333333334
LRU,24,20,300,20,0.9333333333333333,0.0006676000000000001,83.33333333333334
MRU,24,20,300,20,0.9333333333333333,0.0006676000000000001,83.33333333333334
OPT,24,20,300,20,0.9333333333333333,0.0006676000000000001,83.33333333333334
