algorithm,frames,n_pages,n_accesses,page_faults,hit_ratio,avg_access_time_s,memory_utilization
FIFO,6,8,300,89,0.7033333333333334,0.00296737,100.0
LRU,6,8,300,70,0.7666666666666667,0.0023341,100.0
MRU,6,8,300,76,0.7466666666666667,0.00253408,100.0
OPT,6,8,300,40,0.8666666666666667,0.0013342,100.0
FIFO,6,12,300,157,0.4766666666666667,0.00523381,100.0
LRU,6,12,300,154,0.4866666666666667,0.00513382,100.0
MRU,6,12,300,158,0.47333333333333333,0.005267140000000001,100.0
OPT,6,12,300,82,0.7266666666666667,0.0027340600000000004,100.0
FIFO,6,16,300,181,0.39666666666666667,0.00603373,100.0
LRU,6,16,300,181,0.39666666666666667,0.00603373,100.0
MRU,6,16,300,189,0.37,0.0063003700000000004,100.0
OPT,6,16,300,108,0.64,0.00360064,100.0
FIFO,6,24,300,226,0.24666666666666667,0.0075335800000000015,100.0
LRU,6,24,300,231,0.23,0.00770023,100.0
MRU,6,24,300,229,0.23666666666666666,0.007633570000000001,100.0
OPT,6,24,300,147,0.51,0.00490051,100.0
FIFO,6,32,300,250,0.16666666666666666,0.008333499999999999,100.0
LRU,6,32,300,248,0.17333333333333334,0.008266840000000001,100.0
MRU,6,32,300,244,0.18666666666666668,0.00813352,100.0
OPT,6,32,300,170,0.43333333333333335,0.0056671,100.0
FIFO,6,48,300,255,0.15,0.008500150000000001,100.0
LRU,6,48,300,254,0.15333333333333332,0.008466820000000002,100.0
MRU,6,48,300,258,0.14,0.008600140000000001,100.0
OPT,6,48,300,185,0.38333333333333336,0.00616705,100.0
