algorithm,loop_size,frames,n_pages,n_accesses,page_faults,hit_ratio,avg_access_time_s,exec_time_s
FIFO,4,6,40,800,4,0.995,5.0994999999999995e-05,0.0007401999973808415
LRU,4,6,40,800,4,0.995,5.0994999999999995e-05,0.0006642000007559545
MRU,4,6,40,800,4,0.995,5.0994999999999995e-05,0.0005482000051415525
OPT,4,6,40,800,4,0.995,5.0994999999999995e-05,0.0005409000004874542
FIFO,6,6,40,800,6,0.9925,7.59925e-05,0.0009032000016304664
LRU,6,6,40,800,6,0.9925,7.59925e-05,0.0005318999974406324
MRU,6,6,40,800,6,0.9925,7.59925e-05,0.000687400002789218
OPT,6,6,40,800,6,0.9925,7.59925e-05,0.0010277000037604012
FIFO,8,6,40,800,800,0.0,0.01,0.0012811000051442534
LRU,8,6,40,800,800,0.0,0.01,0.0013334000032045878
MRU,8,6,40,800,234,0.7075,0.0029257075,0.0007713000013609417
OPT,8,6,40,800,234,0.7075,0.0029257075,0.001708600000711158
FIFO,10,6,40,800,800,0.0,0.01,0.0010583000039332546
LRU,10,6,40,800,800,0.0,0.01,0.001113500002247747
MRU,10,6,40,800,360,0.55,0.004500550000000001,0.0011964999939664267
OPT,10,6,40,800,360,0.55,0.004500550000000001,0.0021664000014425255
FIFO,12,6,40,800,800,0.0,0.01,0.0011082999990321696
LRU,12,6,40,800,800,0.0,0.01,0.00141530000109924
MRU,12,6,40,800,440,0.45,0.0055004500000000005,0.0010776999988593161
OPT,12,6,40,800,440,0.45,0.0055004500000000005,0.0035594000000855885
FIFO,16,6,40,800,800,0.0,0.01,0.001061800001480151
LRU,16,6,40,800,800,0.0,0.01,0.0021433000001707114
MRU,16,6,40,800,536,0.33,0.00670033,0.0011166999975102954
OPT,16,6,40,800,536,0.33,0.00670033,0.004452099994523451
