algorithm,frames,n_pages,n_accesses,loop_size,page_faults,hit_ratio,avg_access_time_s,memory_utilization
FIFO,20,30,500,6,6,0.988,0.000120988,30.0
LRU,20,30,500,6,6,0.988,0.000120988,30.0
MRU,20,30,500,6,6,0.988,0.000120988,30.0
OPT,20,30,500,6,6,0.988,0.000120988,30.0
FIFO,30,30,500,6,6,0.988,0.000120988,20.0
LRU,30,30,500,6,6,0.988,0.000120988,20.0
MRU,30,30,500,6,6,0.988,0.000120988,20.0
OPT,30,30,500,6,6,0.988,0.000120988,20.0
FIFO,40,30,500,6,6,0.988,0.000120988,15.0
LRU,40,30,500,6,6,0.988,0.000120988,15.0
MRU,40,30,500,6,6,0.988,0.000120988,15.0
OPT,40,30,500,6,6,0.988,0.000120988,15.0
