algorithm,frames,n_pages,n_accesses,loop_size,page_faults,hit_ratio,avg_access_time_s,memory_utilization
FIFO,6,30,500,6,6,0.988,0.000120988,100.0
LRU,6,30,500,6,6,0.988,0.000120988,100.0
MRU,6,30,500,6,6,0.988,0.000120988,100.0
OPT,6,30,500,6,6,0.988,0.000120988,100.0
FIFO,8,30,500,6,6,0.988,0.000120988,75.0
LRU,8,30,500,6,6,0.988,0.000120988,75.0
MRU,8,30,500,6,6,0.988,0.000120988,75.0
OPT,8,30,500,6,6,0.988,0.000120988,75.0
FIFO,10,30,500,6,6,0.988,0.000120988,60.0
LRU,10,30,500,6,6,0.988,0.000120988,60.0
MRU,10,30,500,6,6,0.988,0.000120988,60.0
OPT,10,30,500,6,6,0.988,0.000120988,60.0
