algorithm,frames,n_pages,n_accesses,loop_size,page_faults,hit_ratio,avg_access_time_s,memory_utilization
FIFO,2,30,500,6,500,0.0,0.01,100.0
LRU,2,30,500,6,500,0.0,0.01,100.0
MRU,2,30,500,6,401,0.198,0.008020198,100.0
OPT,2,30,500,6,401,0.198,0.008020198,100.0
FIFO,3,30,500,6,500,0.0,0.01,100.0
LRU,3,30,500,6,500,0.0,0.01,100.0
MRU,3,30,500,6,302,0.396,0.006040396,100.0
OPT,3,30,500,6,302,0.396,0.006040396,100.0
FIFO,4,30,500,6,500,0.0,0.01,100.0
LRU,4,30,500,6,500,0.0,0.01,100.0
MRU,4,30,500,6,203,0.594,0.004060594000000001,100.0
OPT,4,30,500,6,203,0.594,0.004060594000000001,100.0
