algorithm,frames,page_faults,hit_ratio,miss_ratio,exec_time_s,throughput,cpu_usage
FIFO,2,902,0.098,0.902,0.000588,1701838.01,0.01
LRU,2,904,0.096,0.904,0.000376,2660989.82,0.01
OPT,2,767,0.233,0.767,0.00139,719424.47,0.01
MRU,2,906,0.094,0.906,0.000436,2291475.68,0.01
FIFO,4,824,0.176,0.824,0.00043,2325581.32,0.01
LRU,4,824,0.176,0.824,0.000442,2263467.69,0.01
OPT,4,576,0.424,0.576,0.00123,813272.61,0.02
MRU,4,801,0.199,0.801,0.000373,2678810.68,0.01
FIFO,6,711,0.289,0.711,0.000378,2644803.18,0.01
LRU,6,700,0.3,0.7,0.000404,2477086.66,0.01
OPT,6,436,0.564,0.436,0.001177,849762.07,0.02
MRU,6,694,0.306,0.694,0.000401,2492522.26,0.01
FIFO,8,606,0.394,0.606,0.000359,2783964.37,0.02
LRU,8,617,0.383,0.617,0.000426,2349623.84,0.02
OPT,8,330,0.67,0.33,0.001087,919624.78,0.03
MRU,8,583,0.417,0.583,0.0004,2500625.41,0.02
