algorithm,frames,page_size,n_accesses,locality_window,page_faults,hit_ratio,avg_access_time_s,memory_utilization
FIFO,12,1,2000,128,2000,0.0,0.01,100.0
LRU,12,1,2000,128,2000,0.0,0.01,100.0
MRU,12,1,2000,128,1835,0.0825,0.0091750825,100.0
OPT,12,1,2000,128,1835,0.0825,0.0091750825,100.0
FIFO,12,2,2000,128,1000,0.5,0.0050005,100.0
LRU,12,2,2000,128,1000,0.5,0.0050005,100.0
MRU,12,2,2000,128,835,0.5825,0.0041755825,100.0
OPT,12,2,2000,128,835,0.5825,0.0041755825,100.0
FIFO,12,4,2000,128,500,0.75,0.00250075,100.0
LRU,12,4,2000,128,500,0.75,0.00250075,100.0
MRU,12,4,2000,128,332,0.834,0.0016608340000000001,100.0
OPT,12,4,2000,128,332,0.834,0.0016608340000000001,100.0
FIFO,12,8,2000,128,250,0.875,0.001250875,100.0
LRU,12,8,2000,128,250,0.875,0.001250875,100.0
MRU,12,8,2000,128,76,0.962,0.00038096200000000004,100.0
OPT,12,8,2000,128,76,0.962,0.00038096200000000004,100.0
FIFO,12,16,2000,128,8,0.996,4.0996e-05,66.66666666666666
LRU,12,16,2000,128,8,0.996,4.0996e-05,66.66666666666666
MRU,12,16,2000,128,8,0.996,4.0996e-05,66.66666666666666
OPT,12,16,2000,128,8,0.996,4.0996e-05,66.66666666666666
FIFO,12,32,2000,128,4,0.998,2.0997999999999998e-05,33.33333333333333
LRU,12,32,2000,128,4,0.998,2.0997999999999998e-05,33.33333333333333
MRU,12,32,2000,128,4,0.998,2.0997999999999998e-05,33.33333333333333
OPT,12,32,2000,128,4,0.998,2.0997999999999998e-05,33.33333333333333
