algorithm,frames,page_size,n_accesses,locality_window,page_faults,hit_ratio,avg_access_time_s,memory_utilization
FIFO,24,1,2000,128,2000,0.0,0.01,100.0
LRU,24,1,2000,128,2000,0.0,0.01,100.0
MRU,24,1,2000,128,1655,0.1725,0.0082751725,100.0
OPT,24,1,2000,128,1655,0.1725,0.0082751725,100.0
FIFO,24,2,2000,128,1000,0.5,0.0050005,100.0
LRU,24,2,2000,128,1000,0.5,0.0050005,100.0
MRU,24,2,2000,128,655,0.6725,0.0032756724999999996,100.0
OPT,24,2,2000,128,655,0.6725,0.0032756724999999996,100.0
FIFO,24,4,2000,128,500,0.75,0.00250075,100.0
LRU,24,4,2000,128,500,0.75,0.00250075,100.0
MRU,24,4,2000,128,152,0.924,0.0007609240000000001,100.0
OPT,24,4,2000,128,152,0.924,0.0007609240000000001,100.0
FIFO,24,8,2000,128,16,0.992,8.099200000000001e-05,66.66666666666666
LRU,24,8,2000,128,16,0.992,8.099200000000001e-05,66.66666666666666
MRU,24,8,2000,128,16,0.992,8.099200000000001e-05,66.66666666666666
OPT,24,8,2000,128,16,0.992,8.099200000000001e-05,66.66666666666666
FIFO,24,16,2000,128,8,0.996,4.0996e-05,33.33333333333333
LRU,24,16,2000,128,8,0.996,4.0996e-05,33.33333333333333
MRU,24,16,2000,128,8,0.996,4.0996e-05,33.33333333333333
OPT,24,16,2000,128,8,0.996,4.0996e-05,33.33333333333333
FIFO,24,32,2000,128,4,0.998,2.0997999999999998e-05,16.666666666666664
LRU,24,32,2000,128,4,0.998,2.0997999999999998e-05,16.666666666666664
MRU,24,32,2000,128,4,0.998,2.0997999999999998e-05,16.666666666666664
OPT,24,32,2000,128,4,0.998,2.0997999999999998e-05,16.666666666666664
